paiement_id;facture_id;date_paiement;montant;mode
PAY-0001;FAC-2026-0001;2026-04-01;1259.59;VIREMENT
PAY-0002;FAC-2026-0002;2026-05-30;1128.55;VIREMENT
PAY-0003;FAC-2026-0003;2026-05-09;848.64;CHEQUE
PAY-0004;FAC-2026-0004;2026-03-31;2817.11;CHEQUE
PAY-0005;FAC-2026-0005;2026-06-12;392.66;VIREMENT
PAY-0006;FAC-2026-0006;2026-06-12;1497.63;VIREMENT
PAY-0007;FAC-2026-0007;2026-04-15;1095.00;VIREMENT
PAY-0008;FAC-2026-0008;2026-06-10;2367.81;CB
PAY-0009;FAC-2026-0009;2026-05-18;2387.65;VIREMENT
PAY-0010;FAC-2026-0010;2026-05-18;1261.63;VIREMENT
PAY-0011;FAC-2026-0011;2026-07-18;176.00;CB
PAY-0012;FAC-2026-0012;2026-07-18;1872.01;CB
PAY-0013;FAC-2026-0013;2026-06-26;1689.31;VIREMENT
PAY-0014;FAC-2026-0014;2026-03-27;2915.47;VIREMENT
PAY-0015;FAC-2026-0015;2026-04-22;2807.25;VIREMENT
PAY-0016;FAC-2026-0016;2026-07-23;827.33;VIREMENT
PAY-0017;FAC-2026-0017;2026-05-31;849.20;VIREMENT
PAY-0018;FAC-2026-0018;2026-04-07;1123.39;CB
PAY-0019;FAC-2026-0019;2026-06-23;1640.42;VIREMENT
PAY-0020;FAC-2026-0020;2026-04-09;627.75;VIREMENT
PAY-0021;FAC-2026-0021;2026-06-28;1471.02;VIREMENT
PAY-0022;FAC-2026-0022;2026-04-13;1601.28;CB
PAY-0023;FAC-2026-0023;2026-05-19;261.01;CHEQUE
PAY-0024;FAC-2026-0024;2026-04-03;379.85;VIREMENT
PAY-0025;FAC-2026-0025;2026-06-22;1041.58;VIREMENT
PAY-0026;FAC-2026-0026;2026-05-14;1571.69;VIREMENT
PAY-0027;FAC-2026-0027;2026-06-26;2775.77;CB
PAY-0028;FAC-2026-0028;2026-06-02;449.19;CHEQUE
PAY-0029;FAC-2026-0029;2026-05-30;794.81;VIREMENT
PAY-0030;FAC-2026-0030;2026-05-29;451.30;CHEQUE
PAY-0031;FAC-2026-0031;2026-06-23;2659.75;VIREMENT
PAY-0032;FAC-2026-0032;2026-06-10;2665.85;VIREMENT
PAY-0033;FAC-2026-0033;2026-05-23;1349.14;CB
PAY-0034;FAC-2026-0034;2026-05-20;664.44;VIREMENT
PAY-0035;FAC-2026-0035;2026-07-08;1077.49;CB
PAY-0036;FAC-2026-0036;2026-05-20;1058.67;CHEQUE
PAY-0037;FAC-2026-0037;2026-07-06;423.72;VIREMENT
PAY-0038;FAC-2026-0038;2026-06-12;885.66;CHEQUE
PAY-0039;FAC-2026-0039;2026-04-09;1322.23;CHEQUE
PAY-0040;FAC-2026-0040;2026-06-20;1654.28;CB
PAY-0041;FAC-2026-0041;2026-07-04;906.40;CB
PAY-0042;FAC-2026-0042;2026-07-17;2820.97;VIREMENT
PAY-0043;FAC-2026-0043;2026-07-04;1862.15;VIREMENT
PAY-0044;FAC-2026-0044;2026-03-29;449.35;CHEQUE
PAY-0045;FAC-2026-0045;2026-05-21;2787.05;VIREMENT
PAY-0046;FAC-2026-0046;2026-05-10;2156.49;VIREMENT
PAY-0047;FAC-2026-0047;2026-07-07;622.05;CHEQUE
PAY-0048;FAC-2026-0048;2026-04-19;693.85;VIREMENT
PAY-0049;FAC-2026-0049;2026-05-30;2429.88;VIREMENT
PAY-0050;FAC-2026-0050;2026-07-07;2224.87;VIREMENT
PAY-0051;FAC-2026-0051;2026-05-11;809.45;VIREMENT
PAY-0052;FAC-2026-0052;2026-06-22;2002.50;CB
PAY-0053;FAC-2026-0053;2026-06-05;2093.20;CHEQUE
PAY-0054;FAC-2026-0054;2026-03-23;2657.12;VIREMENT
PAY-0055;FAC-2026-0055;2026-06-01;2947.39;VIREMENT
PAY-0056;FAC-2026-0056;2026-05-27;2247.54;CB
PAY-0057;FAC-2026-0057;2026-07-21;341.34;CHEQUE
PAY-0058;FAC-2026-0058;2026-07-01;2107.56;CB
PAY-0059;FAC-2026-0059;2026-06-27;877.28;CHEQUE
PAY-0060;FAC-2026-0060;2026-05-28;2920.50;CHEQUE
PAY-0061;FAC-2026-0061;2026-07-09;2900.30;VIREMENT
PAY-0062;FAC-2026-0062;2026-06-18;99.10;VIREMENT
PAY-0063;FAC-2026-0063;2026-06-09;1556.03;VIREMENT
PAY-0064;FAC-2026-0064;2026-04-05;110.38;VIREMENT
PAY-0065;FAC-2026-0065;2026-06-05;1800.07;VIREMENT
PAY-0066;FAC-2026-0066;2026-07-26;1924.56;VIREMENT
PAY-0067;FAC-2026-0067;2026-06-06;2315.56;VIREMENT
PAY-0068;FAC-2026-0068;2026-04-14;1892.73;VIREMENT
PAY-0069;FAC-2026-0069;2026-04-20;1342.53;VIREMENT
PAY-0070;FAC-2026-0070;2026-04-27;1560.69;VIREMENT
PAY-0071;FAC-2026-0130;2026-07-07;400.00;CHEQUE
PAY-0072;FAC-2026-0131;2026-06-27;450.00;CB
PAY-0073;FAC-2026-0131;2026-07-05;450.00;VIREMENT
PAY-0074;FAC-9999;2026-07-15;320.00;VIREMENT
PAY-0075;FAC-2026-0132;2026-07-09;720.00;VIREMENT
