horodatage;devis_id;demande_id;client_id;raison_sociale;langue;date_devis;date_validite;nb_lignes_chiffrees;nb_lignes_clarifier;grand_total_ht;grand_total_tva;grand_total_ttc;remise_max_appliquee;fichier_outbox;detail_lignes
2026-07-23 14:45:35;DEV-F0010;DEV-0001;CL-203;Garage Central Auto;FR;27/07/2026;26/08/2026;2;0;4309.2;861.84;5171.04;5.0;DEV-F0010_CL-203.txt;[{'reference': 'MOB-CHA-ERG', 'libelle': 'Chaise de bureau ergonomique', 'libelle_demande': 'Chaise de bureau ergonomique', 'qte': 12.0, 'prix_ht_unit': 149.0, 'remise_pct': 5.0, 'justif_remise': 'remise volume (≥12 unités) : 5.0%', 'total_ht': 1698.6, 'tva_pct': 20.0, 'total_tva': 339.72, 'total_ttc': 2038.32}, {'reference': 'MOB-BUR-140', 'libelle': 'Bureau plateau 140x70', 'libelle_demande': 'Bureau plateau 140x70', 'qte': 12.0, 'prix_ht_unit': 229.0, 'remise_pct': 5.0, 'justif_remise': 'remise volume (≥12 unités) : 5.0%', 'total_ht': 2610.6, 'tva_pct': 20.0, 'total_tva': 522.12, 'total_ttc': 3132.72}]
2026-07-23 14:45:35;DEV-F0011;DEV-0002;CL-207;Transports Rivoli;FR;27/07/2026;26/08/2026;2;0;67.51;13.5;81.01;3.0;DEV-F0011_CL-207.txt;[{'reference': 'PAP-A4-500', 'libelle': 'Ramette papier A4 80g (500 feuilles)', 'libelle_demande': 'Ramette papier A4 80g (500 feuilles)', 'qte': 4.0, 'prix_ht_unit': 4.9, 'remise_pct': 3.0, 'justif_remise': 'remise contractuelle client : 3.0%', 'total_ht': 19.01, 'tva_pct': 20.0, 'total_tva': 3.8, 'total_ttc': 22.81}, {'reference': 'PAP-STY-BL', 'libelle': 'Stylo bille bleu (boîte de 50)', 'libelle_demande': 'Stylo bille bleu (boîte de 50)', 'qte': 4.0, 'prix_ht_unit': 12.5, 'remise_pct': 3.0, 'justif_remise': 'remise contractuelle client : 3.0%', 'total_ht': 48.5, 'tva_pct': 20.0, 'total_tva': 9.7, 'total_ttc': 58.2}]
2026-07-23 14:45:35;DEV-F0012;DEV-0003;CL-241;Mairie de Valbonne-sur-Cère;FR;27/07/2026;26/08/2026;5;0;5101.72;1020.34;6122.06;5.0;DEV-F0012_CL-241.txt;"[{'reference': 'MOB-CHA-ERG', 'libelle': 'Chaise de bureau ergonomique', 'libelle_demande': 'Chaise de bureau ergonomique', 'qte': 8.0, 'prix_ht_unit': 149.0, 'remise_pct': 3.0, 'justif_remise': 'remise contractuelle client : 3.0%', 'total_ht': 1156.24, 'tva_pct': 20.0, 'total_tva': 231.25, 'total_ttc': 1387.49}, {'reference': 'INF-ECR-24', 'libelle': 'Écran 24 pouces Full HD', 'libelle_demande': 'Écran 24 pouces Full HD', 'qte': 24.0, 'prix_ht_unit': 119.0, 'remise_pct': 5.0, 'justif_remise': 'remise volume (≥24 unités) : 5.0%', 'total_ht': 2713.2, 'tva_pct': 20.0, 'total_tva': 542.64, 'total_ttc': 3255.84}, {'reference': 'INF-CLA-SF', 'libelle': 'Clavier sans fil AZERTY', 'libelle_demande': 'Clavier sans fil AZERTY', 'qte': 8.0, 'prix_ht_unit': 29.9, 'remise_pct': 3.0, 'justif_remise': 'remise contractuelle client : 3.0%', 'total_ht': 232.02, 'tva_pct': 20.0, 'total_tva': 46.4, 'total_ttc': 278.42}, {'reference': 'INF-SOU-ERG', 'libelle': 'Souris ergonomique verticale', 'libelle_demande': 'Souris ergonomique verticale', 'qte': 8.0, 'prix_ht_unit': 39.9, 'remise_pct': 3.0, 'justif_remise': 'remise contractuelle client : 3.0%', 'total_ht': 309.62, 'tva_pct': 20.0, 'total_tva': 61.92, 'total_ttc': 371.54}, {'reference': 'INF-DOCK-USB', 'libelle': ""Station d'accueil USB-C"", 'libelle_demande': ""Station d'accueil USB-C"", 'qte': 8.0, 'prix_ht_unit': 89.0, 'remise_pct': 3.0, 'justif_remise': 'remise contractuelle client : 3.0%', 'total_ht': 690.64, 'tva_pct': 20.0, 'total_tva': 138.13, 'total_ttc': 828.77}]"
2026-07-23 14:45:35;DEV-F0013;DEV-0004;CL-226;Traiteur Saveurs & Co;FR;27/07/2026;26/08/2026;2;0;2627.66;525.53;3153.19;12.0;DEV-F0013_CL-226.txt;[{'reference': 'CAF-CAP-100', 'libelle': 'Capsules café (boîte 100)', 'libelle_demande': 'Capsules café (boîte 100)', 'qte': 100.0, 'prix_ht_unit': 29.0, 'remise_pct': 12.0, 'justif_remise': 'remise volume (≥100 unités) : 12.0%', 'total_ht': 2552.0, 'tva_pct': 20.0, 'total_tva': 510.4, 'total_ttc': 3062.4}, {'reference': 'CAF-GOB-1000', 'libelle': 'Gobelets carton 20 cl (x1000)', 'libelle_demande': 'Gobelets carton 20 cl (x1000)', 'qte': 2.0, 'prix_ht_unit': 39.0, 'remise_pct': 3.0, 'justif_remise': 'remise contractuelle client : 3.0%', 'total_ht': 75.66, 'tva_pct': 20.0, 'total_tva': 15.13, 'total_ttc': 90.79}]
2026-07-23 14:45:35;DEV-F0014;DEV-0005;CL-238;Cabinet Avocats Lex & Partners;FR;27/07/2026;26/08/2026;3;0;506.14;101.23;607.37;5.0;DEV-F0014_CL-238.txt;[{'reference': 'SEC-EXT-6KG', 'libelle': 'Extincteur poudre 6 kg', 'libelle_demande': 'Extincteur poudre 6 kg', 'qte': 2.0, 'prix_ht_unit': 54.0, 'remise_pct': 3.0, 'justif_remise': 'remise contractuelle client : 3.0%', 'total_ht': 104.76, 'tva_pct': 20.0, 'total_tva': 20.95, 'total_ttc': 125.71}, {'reference': 'SEC-TRO-PH', 'libelle': 'Trousse premiers secours', 'libelle_demande': 'Trousse premiers secours', 'qte': 1.0, 'prix_ht_unit': 24.0, 'remise_pct': 3.0, 'justif_remise': 'remise contractuelle client : 3.0%', 'total_ht': 23.28, 'tva_pct': 20.0, 'total_tva': 4.66, 'total_ttc': 27.94}, {'reference': 'SEC-GIL-JN', 'libelle': 'Gilets haute visibilité (lot de 10)', 'libelle_demande': 'Gilets haute visibilité (lot de 10)', 'qte': 20.0, 'prix_ht_unit': 19.9, 'remise_pct': 5.0, 'justif_remise': 'remise volume (≥20 unités) : 5.0%', 'total_ht': 378.1, 'tva_pct': 20.0, 'total_tva': 75.62, 'total_ttc': 453.72}]
2026-07-23 14:45:35;DEV-F0015;DEV-0006;CL-214;Pharmacie du Marché;FR;27/07/2026;26/08/2026;2;0;1765.57;353.11;2118.68;5.0;DEV-F0015_CL-214.txt;[{'reference': 'MOB-CAI-3T', 'libelle': 'Caisson 3 tiroirs à roulettes', 'libelle_demande': 'Caisson 3 tiroirs à roulettes', 'qte': 15.0, 'prix_ht_unit': 89.0, 'remise_pct': 5.0, 'justif_remise': 'remise volume (≥15 unités) : 5.0%', 'total_ht': 1268.25, 'tva_pct': 20.0, 'total_tva': 253.65, 'total_ttc': 1521.9}, {'reference': 'MOB-LAMP-LED', 'libelle': 'Lampe de bureau LED', 'libelle_demande': 'Lampe de bureau LED', 'qte': 15.0, 'prix_ht_unit': 34.9, 'remise_pct': 5.0, 'justif_remise': 'remise volume (≥15 unités) : 5.0%', 'total_ht': 497.32, 'tva_pct': 20.0, 'total_tva': 99.46, 'total_ttc': 596.78}]
2026-07-23 14:45:35;DEV-F0016;DEV-0007;CL-233;Paysagiste Vertparc;FR;27/07/2026;26/08/2026;1;1;19516.0;3903.2;23419.2;18.0;DEV-F0016_CL-233.txt;[{'reference': 'INF-ECR-24', 'libelle': 'Écran 24 pouces Full HD', 'libelle_demande': 'Écran 24 pouces Full HD', 'qte': 200.0, 'prix_ht_unit': 119.0, 'remise_pct': 18.0, 'justif_remise': 'remise volume (≥200 unités) : 18.0%', 'total_ht': 19516.0, 'tva_pct': 20.0, 'total_tva': 3903.2, 'total_ttc': 23419.2}]
2026-07-23 14:45:35;DEV-F0017;DEV-0008;CL-221;Coiffure Tendance;FR;27/07/2026;26/08/2026;2;0;7538.4;1507.68;9046.08;18.0;DEV-F0017_CL-221.txt;[{'reference': 'PAP-CAH-96', 'libelle': 'Cahier 96 pages grands carreaux', 'libelle_demande': 'Cahier 96 pages grands carreaux', 'qte': 100.0, 'prix_ht_unit': 1.8, 'remise_pct': 12.0, 'justif_remise': 'remise volume (≥100 unités) : 12.0%', 'total_ht': 158.4, 'tva_pct': 20.0, 'total_tva': 31.68, 'total_ttc': 190.08}, {'reference': 'PAP-ENV-DL', 'libelle': 'Enveloppes DL autocollantes (boîte 500)', 'libelle_demande': 'Enveloppes DL autocollantes (boîte 500)', 'qte': 500.0, 'prix_ht_unit': 18.0, 'remise_pct': 18.0, 'justif_remise': 'remise volume (≥500 unités) : 18.0%', 'total_ht': 7380.0, 'tva_pct': 20.0, 'total_tva': 1476.0, 'total_ttc': 8856.0}]
2026-07-23 14:45:35;DEV-F0018;DEV-0009;CL-244;CL-244;EN;27/07/2026;26/08/2026;3;0;2156.5;431.3;2587.8;5.0;DEV-F0018_CL-244.txt;[{'reference': 'INF-ECR-24', 'libelle': 'Écran 24 pouces Full HD', 'libelle_demande': 'Écran 24 pouces Full HD', 'qte': 10.0, 'prix_ht_unit': 119.0, 'remise_pct': 5.0, 'justif_remise': 'remise volume (≥10 unités) : 5.0%', 'total_ht': 1130.5, 'tva_pct': 20.0, 'total_tva': 226.1, 'total_ttc': 1356.6}, {'reference': 'INF-CAS-BT', 'libelle': 'Casque audio Bluetooth avec micro', 'libelle_demande': 'Casque audio Bluetooth avec micro', 'qte': 10.0, 'prix_ht_unit': 59.0, 'remise_pct': 5.0, 'justif_remise': 'remise volume (≥10 unités) : 5.0%', 'total_ht': 560.5, 'tva_pct': 20.0, 'total_tva': 112.1, 'total_ttc': 672.6}, {'reference': 'INF-WEB-HD', 'libelle': 'Webcam Full HD', 'libelle_demande': 'Webcam Full HD', 'qte': 10.0, 'prix_ht_unit': 49.0, 'remise_pct': 5.0, 'justif_remise': 'remise volume (≥10 unités) : 5.0%', 'total_ht': 465.5, 'tva_pct': 20.0, 'total_tva': 93.1, 'total_ttc': 558.6}]
2026-07-23 14:45:35;DEV-F0019;DEV-0010;CL-209;Studio Graphique Pixel;FR;27/07/2026;26/08/2026;2;0;2657.8;531.56;3189.36;3.0;DEV-F0019_CL-209.txt;[{'reference': 'MOB-BUR-140', 'libelle': 'Bureau plateau 140x70', 'libelle_demande': 'Bureau plateau 140x70', 'qte': 5.0, 'prix_ht_unit': 229.0, 'remise_pct': 3.0, 'justif_remise': 'remise contractuelle client : 3.0%', 'total_ht': 1110.65, 'tva_pct': 20.0, 'total_tva': 222.13, 'total_ttc': 1332.78}, {'reference': 'MOB-ARM-HT', 'libelle': 'Armoire haute à rideaux', 'libelle_demande': 'Armoire haute à rideaux', 'qte': 5.0, 'prix_ht_unit': 319.0, 'remise_pct': 3.0, 'justif_remise': 'remise contractuelle client : 3.0%', 'total_ht': 1547.15, 'tva_pct': 20.0, 'total_tva': 309.43, 'total_ttc': 1856.58}]
