facture_id;client_id;date_emission;date_echeance;montant_ht;tva_pct;montant_ttc;somme_paiements;solde;conditions_paiement
FAC-2026-0071;CL-206;26/07/2026;25/08/2026;152.0;20;182.4;0.0;182.4;30J
FAC-2026-0072;CL-241;15/07/2026;29/08/2026;1730.37;20;2076.44;0.0;2076.44;45J
FAC-2026-0073;CL-225;12/07/2026;11/08/2026;1040.67;20;1248.8;0.0;1248.8;30J
FAC-2026-0074;CL-241;26/07/2026;09/09/2026;1157.11;20;1388.53;0.0;1388.53;45J
FAC-2026-0075;CL-216;11/07/2026;10/08/2026;533.72;20;640.47;0.0;640.47;30J
FAC-2026-0076;CL-230;24/07/2026;23/08/2026;1367.02;20;1640.42;0.0;1640.42;30J
FAC-2026-0077;CL-233;09/07/2026;08/08/2026;238.14;20;285.77;0.0;285.77;30J
FAC-2026-0078;CL-234;24/07/2026;07/09/2026;1362.65;20;1635.18;0.0;1635.18;45J
FAC-2026-0079;CL-231;18/07/2026;17/08/2026;1471.86;20;1766.23;0.0;1766.23;30J
FAC-2026-0080;CL-217;19/07/2026;18/08/2026;1334.46;20;1601.35;0.0;1601.35;30J
FAC-2026-0081;CL-214;19/07/2026;02/09/2026;1352.51;20;1623.01;0.0;1623.01;45J
FAC-2026-0082;CL-230;11/07/2026;10/08/2026;1534.31;20;1841.18;0.0;1841.18;30J
FAC-2026-0083;CL-205;11/07/2026;30/09/2026;1646.0;20;1975.2;0.0;1975.2;60J_FIN_DE_MOIS
FAC-2026-0084;CL-219;02/07/2026;01/08/2026;160.41;20;192.49;0.0;192.49;30J
FAC-2026-0085;CL-241;06/07/2026;20/08/2026;421.06;20;505.27;0.0;505.27;45J
FAC-2026-0086;CL-239;22/07/2026;05/09/2026;650.65;20;780.78;0.0;780.78;45J
FAC-2026-0087;CL-242;03/07/2026;30/09/2026;1271.77;20;1526.12;0.0;1526.12;60J_FIN_DE_MOIS
FAC-2026-0088;CL-240;08/07/2026;22/08/2026;309.52;20;371.42;0.0;371.42;45J
FAC-2026-0089;CL-231;25/07/2026;24/08/2026;915.57;20;1098.69;0.0;1098.69;30J
FAC-2026-0090;CL-207;04/07/2026;18/08/2026;454.43;20;545.32;0.0;545.32;45J
FAC-2026-0091;CL-232;17/07/2026;31/08/2026;1299.26;20;1559.11;0.0;1559.11;45J
FAC-2026-0092;CL-219;12/07/2026;11/08/2026;881.34;20;1057.61;0.0;1057.61;30J
FAC-2026-0093;CL-208;09/07/2026;23/08/2026;422.71;20;507.25;0.0;507.25;45J
FAC-2026-0094;CL-206;11/07/2026;10/08/2026;110.11;20;132.13;0.0;132.13;30J
FAC-2026-0095;CL-230;24/07/2026;23/08/2026;1490.22;20;1788.27;0.0;1788.27;30J
FAC-2026-0096;CL-229;18/07/2026;17/08/2026;745.38;20;894.45;0.0;894.45;30J
FAC-2026-0097;CL-214;24/07/2026;07/09/2026;1080.13;20;1296.16;0.0;1296.16;45J
FAC-2026-0098;CL-210;03/07/2026;17/08/2026;981.39;20;1177.67;0.0;1177.67;45J
FAC-2026-0099;CL-231;22/06/2026;22/07/2026;528.42;20;634.11;0.0;634.11;30J
FAC-2026-0100;CL-241;07/06/2026;22/07/2026;981.07;20;1177.28;0.0;1177.28;45J
FAC-2026-0101;CL-209;07/06/2026;22/07/2026;2286.28;20;2743.53;0.0;2743.53;45J
FAC-2026-0102;CL-218;22/06/2026;22/07/2026;1653.49;20;1984.19;0.0;1984.19;30J
FAC-2026-0103;CL-240;07/06/2026;22/07/2026;1333.77;20;1600.52;0.0;1600.52;45J
FAC-2026-0104;CL-212;22/06/2026;22/07/2026;131.06;20;157.27;0.0;157.27;30J
FAC-2026-0105;CL-240;25/05/2026;09/07/2026;2219.29;20;2663.15;0.0;2663.15;45J
