horodatage;facture_id;client_id;client_nom;action
2026-07-22 12:29:27;FAC-2026-0105;CL-240;Association Sport pour Tous;RELANCE_1
2026-07-22 12:29:27;FAC-2026-0106;CL-233;Paysagiste Vertparc;RELANCE_1
2026-07-22 12:29:27;FAC-2026-0107;CL-211;Plomberie Aquanet;RELANCE_1
2026-07-22 12:29:27;FAC-2026-0108;CL-232;Serrurerie Sécurit;RELANCE_1
2026-07-22 12:29:27;FAC-2026-0109;CL-229;Cabinet Dentaire Molaire;RELANCE_1
2026-07-22 12:29:27;FAC-2026-0110;CL-229;Cabinet Dentaire Molaire;RELANCE_1
2026-07-22 12:29:27;FAC-2026-0111;CL-209;Studio Graphique Pixel;RELANCE_1
2026-07-22 12:29:27;FAC-2026-0112;CL-215;Laboratoire BioSud;RELANCE_1
2026-07-22 12:29:27;FAC-2026-0113;CL-225;Opticien Vision Claire;RELANCE_1
2026-07-22 12:29:27;FAC-2026-0114;CL-206;Boulangerie Pains & Traditions;RELANCE_2
2026-07-22 12:29:27;FAC-2026-0115;CL-206;Boulangerie Pains & Traditions;RELANCE_2
2026-07-22 12:29:27;FAC-2026-0116;CL-235;Sécurité Gardax;RELANCE_2
2026-07-22 12:29:27;FAC-2026-0117;CL-205;Cabinet Architek;RELANCE_1
2026-07-22 12:29:27;FAC-2026-0118;CL-205;Cabinet Architek;RELANCE_1
2026-07-22 12:29:27;FAC-2026-0119;CL-225;Opticien Vision Claire;RELANCE_2
2026-07-22 12:29:27;FAC-2026-0120;CL-211;Plomberie Aquanet;RELANCE_1
2026-07-22 12:29:27;FAC-2026-0121;CL-222;Boucherie Charolaise;RELANCE_3
2026-07-22 12:29:27;FAC-2026-0122;CL-227;Pressing Net Express;RELANCE_3
2026-07-22 12:29:27;FAC-2026-0123;CL-231;Peinture Déco Colori;RELANCE_3
2026-07-22 12:29:27;FAC-2026-0124;CL-235;Sécurité Gardax;RELANCE_3
2026-07-22 12:29:27;FAC-2026-0125;CL-233;Paysagiste Vertparc;RELANCE_3
2026-07-22 12:29:27;FAC-2026-0126;CL-216;École de Musique Crescendo;TRANSFERT_RECOUVREMENT
2026-07-22 12:29:27;FAC-2026-0127;CL-205;Cabinet Architek;RELANCE_3
2026-07-22 12:29:27;FAC-2026-0128;CL-234;Informatique ProServ;TRANSFERT_RECOUVREMENT
2026-07-22 12:29:27;FAC-2026-0129;CL-210;Électricité Générale Volta;TRANSFERT_RECOUVREMENT
2026-07-22 12:29:27;FAC-2026-0134;CL-228;Institut Beauté Zen;RELANCE_1
2026-07-22 12:29:27;FAC-2026-0138;CL-202;Menuiserie Lacan & Fils;TRANSFERT_RECOUVREMENT
